Time [s],CH1[V],
7.2000097e-05,-0.00000e+00,
7.4000098e-05,4.00000e-02,
7.6000098e-05,-0.00000e+00,
7.8000099e-05,4.00000e-02,
8.0000100e-05,-0.00000e+00,
8.2000101e-05,4.00000e-02,
8.4000101e-05,-0.00000e+00,
8.6000102e-05,4.00000e-02,
8.8000103e-05,-0.00000e+00,
9.0000103e-05,4.00000e-02,
9.2000104e-05,-0.00000e+00,
9.4000105e-05,-0.00000e+00,
9.6000105e-05,-0.00000e+00,
9.8000106e-05,-0.00000e+00,
1.0000011e-04,-0.00000e+00,
1.0200011e-04,4.00000e-02,
1.0400011e-04,-0.00000e+00,
1.0600011e-04,3.36000e+00,
1.0800011e-04,3.32000e+00,
1.1000011e-04,3.28000e+00,
1.1200011e-04,3.28000e+00,
1.1400011e-04,3.28000e+00,
1.1600011e-04,3.28000e+00,
1.1800011e-04,3.28000e+00,
1.2000011e-04,3.24000e+00,
1.2200011e-04,3.32000e+00,
1.2400011e-04,3.24000e+00,
1.2600012e-04,3.32000e+00,
1.2800012e-04,3.28000e+00,
1.3000012e-04,3.28000e+00,
1.3200012e-04,3.24000e+00,
1.3400012e-04,3.28000e+00,
1.3600012e-04,3.28000e+00,
1.3800012e-04,3.24000e+00,
1.4000012e-04,3.28000e+00,
1.4200012e-04,3.24000e+00,
1.4400012e-04,3.28000e+00,
1.4600012e-04,3.24000e+00,
1.4800012e-04,3.24000e+00,
1.5000012e-04,3.28000e+00,
1.5200012e-04,3.28000e+00,
1.5400012e-04,3.24000e+00,
1.5600013e-04,3.28000e+00,
1.5800013e-04,3.24000e+00,
1.6000013e-04,3.28000e+00,
1.6200013e-04,3.24000e+00,
1.6400013e-04,3.28000e+00,
1.6600013e-04,3.24000e+00,
1.6800013e-04,3.28000e+00,
1.7000013e-04,3.24000e+00,
1.7200013e-04,3.28000e+00,
1.7400013e-04,3.24000e+00,
1.7600013e-04,3.28000e+00,
1.7800013e-04,3.24000e+00,
1.8000013e-04,3.28000e+00,
1.8200013e-04,3.24000e+00,
1.8400014e-04,3.28000e+00,
1.8600014e-04,3.28000e+00,
1.8800014e-04,3.24000e+00,
1.9000014e-04,3.28000e+00,
1.9200014e-04,3.28000e+00,
1.9400014e-04,3.24000e+00,
1.9600014e-04,3.28000e+00,
1.9800014e-04,3.24000e+00,
2.0000014e-04,3.28000e+00,
2.0200014e-04,3.24000e+00,
2.0400014e-04,3.28000e+00,
2.0600014e-04,3.24000e+00,
2.0800014e-04,3.28000e+00,
2.1000014e-04,-1.20000e-01,
2.1200014e-04,-7.99999e-02,
2.1400015e-04,-0.00000e+00,
2.1600015e-04,-0.00000e+00,
2.1800015e-04,-7.99999e-02,
2.2000015e-04,-0.00000e+00,
2.2200015e-04,-0.00000e+00,
2.2400015e-04,-0.00000e+00,
2.2600015e-04,-0.00000e+00,
2.2800015e-04,4.00000e-02,
2.3000015e-04,-0.00000e+00,
2.3200015e-04,-0.00000e+00,
2.3400015e-04,-0.00000e+00,
2.3600015e-04,-0.00000e+00,
2.3800015e-04,-0.00000e+00,
2.4000015e-04,-0.00000e+00,
2.4200015e-04,4.00000e-02,
2.4400016e-04,-0.00000e+00,
2.4600016e-04,4.00000e-02,
2.4800014e-04,4.00000e-02,
2.5000013e-04,-0.00000e+00,
2.5200011e-04,-0.00000e+00,
2.5400010e-04,-0.00000e+00,
2.5600009e-04,-0.00000e+00,
2.5800007e-04,-0.00000e+00,
2.6000006e-04,-0.00000e+00,
2.6200005e-04,4.00000e-02,
2.6400003e-04,-0.00000e+00,
2.6600002e-04,-0.00000e+00,
2.6800000e-04,-0.00000e+00,
2.6999999e-04,-0.00000e+00,
2.7199998e-04,-0.00000e+00,
2.7399996e-04,-0.00000e+00,
2.7599995e-04,-0.00000e+00,
2.7799993e-04,-0.00000e+00,
2.7999992e-04,-0.00000e+00,
2.8199991e-04,-0.00000e+00,
2.8399989e-04,-0.00000e+00,
2.8599988e-04,4.00000e-02,
2.8799986e-04,-0.00000e+00,
2.8999985e-04,-0.00000e+00,
2.9199984e-04,-0.00000e+00,
2.9399982e-04,-0.00000e+00,
2.9599981e-04,-0.00000e+00,
2.9799980e-04,-0.00000e+00,
2.9999978e-04,-0.00000e+00,
3.0199977e-04,-0.00000e+00,
3.0399975e-04,-0.00000e+00,
3.0599974e-04,-0.00000e+00,
3.0799973e-04,-0.00000e+00,
3.0999971e-04,-0.00000e+00,
3.1199970e-04,-0.00000e+00,
3.1399968e-04,-0.00000e+00,
3.1599967e-04,-0.00000e+00,
3.1799966e-04,-0.00000e+00,
3.1999964e-04,-0.00000e+00,
3.2199963e-04,-0.00000e+00,
3.2399961e-04,-0.00000e+00,
3.2599960e-04,4.00000e-02,
3.2799959e-04,-0.00000e+00,
